2021-1-31, 14:28:56, temps : 0.014270, offset : 3284340736, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.014360, offset : 3284332544, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.014452, offset : 3284324352, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.014550, offset : 3284316160, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.014641, offset : 3284283392, cur_bytes : 24576 , bytes : 24576, 
2021-1-31, 14:28:56, temps : 0.014729, offset : 3284258816, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.014819, offset : 3284238336, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.014907, offset : 3284217856, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.014997, offset : 3284201472, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.015088, offset : 3284180992, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.015178, offset : 3284164608, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.015284, offset : 3284156416, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.015373, offset : 3284144128, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.015464, offset : 3284123648, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.015553, offset : 3284111360, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.015645, offset : 3284090880, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.015733, offset : 3284078592, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.015823, offset : 3284058112, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.015914, offset : 3284033536, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.016061, offset : 3284021248, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.016152, offset : 3284004864, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016240, offset : 3283996672, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016329, offset : 3283988480, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016419, offset : 3283968000, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.016509, offset : 3283943424, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.016597, offset : 3283935232, cur_bytes : 4096 , bytes : 4096, 
